Id,MSSubClass,LotArea,LotConfig,OverallQual,LotFrontage,Neighborhood,OverallCond,BedroomAbvGr,TotRmsAbvGrd,TotalBsmtSF,YearBuilt,SalePrice
404,60,12090,Corner,8,93.0,NoRidge,5,4,10,1141,1998,258.0
405,60,10364,Inside,6,,Gilbert,5,3,7,806,1995,168.0
406,20,9991,Corner,4,,Sawyer,4,3,8,1281,1976,150.0
407,50,10480,Inside,6,51.0,SWISU,5,3,6,1064,1936,115.0
408,70,15576,Inside,6,63.0,Crawfor,7,4,8,840,1915,177.0
409,60,14154,Corner,7,109.0,NridgHt,5,3,9,1063,2006,280.0
410,60,10800,Inside,8,85.0,Somerst,5,3,8,1034,2007,339.75
411,20,9571,Inside,5,68.0,Edwards,3,3,5,1276,1958,60.0
413,20,4403,Inside,7,,Somerst,5,2,7,1470,2009,222.0
414,30,8960,Inside,5,56.0,OldTown,6,2,5,1008,1927,115.0
415,60,11228,CulDSac,7,59.0,SawyerW,5,3,9,1080,1993,228.0
416,20,8899,Inside,7,73.0,Gilbert,5,3,6,1340,2007,181.134
417,60,7844,Inside,6,74.0,Sawyer,7,3,6,672,1978,149.5
418,70,22420,Inside,6,86.0,Crawfor,6,4,10,1370,1918,239.0
419,50,8160,Inside,5,60.0,Edwards,6,3,7,756,1940,126.0
420,20,8450,Inside,5,65.0,NAmes,6,3,6,1056,1968,142.0
421,90,7060,Inside,7,78.0,Mitchel,5,2,8,1344,1997,206.3
422,20,16635,FR2,6,,NWAmes,7,3,8,1602,1977,215.0
423,20,21750,Inside,5,100.0,Mitchel,5,2,4,988,1954,113.0
424,60,9200,Inside,8,80.0,NoRidge,5,4,8,1470,1998,315.0
425,20,9000,Inside,6,72.0,NAmes,5,2,6,1196,1956,139.0
426,60,3378,Inside,7,60.0,OldTown,8,3,6,651,1946,135.0
427,80,12800,Inside,7,,SawyerW,5,2,5,1518,1989,275.0
428,20,8593,Inside,4,77.0,NAmes,6,3,5,907,1957,109.008
429,20,6762,Inside,7,64.0,CollgCr,5,2,6,1208,2007,195.4
430,20,11457,Corner,6,130.0,Timber,5,3,6,1392,1988,175.0
431,160,1680,Inside,6,21.0,BrDale,5,2,4,483,1971,85.4
432,50,5586,Inside,6,60.0,OldTown,7,4,7,901,1920,79.9
433,160,1920,Inside,5,24.0,BrDale,5,2,6,765,1971,122.5
434,60,10839,Corner,6,100.0,Gilbert,5,3,7,926,1997,181.0
435,180,1890,Inside,4,21.0,MeadowV,7,1,3,630,1972,81.0
436,60,10667,CulDSac,7,43.0,CollgCr,6,3,6,799,1996,212.0
437,50,4400,Inside,6,40.0,OldTown,8,2,6,648,1920,116.0
438,45,6000,Inside,6,50.0,BrkSide,7,2,4,884,1926,119.0
439,30,4280,Inside,5,40.0,Crawfor,6,2,4,440,1913,90.35
440,50,12354,Corner,6,67.0,Edwards,8,3,7,684,1920,110.0
442,90,12108,Inside,4,92.0,Edwards,4,4,8,1440,1955,118.0
443,50,6240,Inside,5,52.0,BrkSide,7,3,8,1078,1930,162.9
444,120,3922,Inside,7,53.0,Blmngtn,5,2,6,1258,2006,172.5
445,60,8750,Inside,7,70.0,CollgCr,5,4,8,915,1994,210.0
446,20,9855,Corner,6,73.0,Edwards,5,3,7,1436,1956,127.5
448,60,11214,Corner,7,,Gilbert,5,4,10,930,1998,199.9
449,50,8600,Inside,6,50.0,IDOTRR,6,3,7,780,1937,119.5
450,50,6000,Inside,3,50.0,OldTown,7,2,6,649,1948,120.0
451,30,5684,Inside,6,70.0,OldTown,8,2,5,813,1930,110.0
453,60,9303,Corner,6,,Timber,5,3,7,872,1996,204.0
454,60,9000,Inside,8,75.0,Somerst,5,3,6,768,2008,210.0
455,90,9297,Inside,5,63.0,Mitchel,5,4,8,1728,1976,188.0
456,20,9600,Inside,7,80.0,NWAmes,6,3,6,1242,1973,175.5
457,70,4571,Inside,5,34.0,OldTown,5,4,7,624,1916,98.0
459,70,5100,Inside,8,,OldTown,7,3,7,588,1925,161.0
460,50,7015,Corner,5,,BrkSide,4,3,5,709,1950,110.0
461,60,8004,Inside,8,75.0,Somerst,5,3,8,832,2009,263.435
463,20,8281,Inside,5,60.0,Sawyer,5,3,5,864,1965,62.383
464,70,11988,Inside,6,74.0,Crawfor,7,3,6,715,1934,188.7
465,20,8430,Inside,5,60.0,CollgCr,5,3,5,1040,1978,124.0
466,120,3072,Inside,7,,Blmngtn,5,2,6,1375,2004,178.74
467,20,10628,Inside,7,85.0,NAmes,5,2,5,1277,1970,167.0
468,70,9480,Inside,5,79.0,NAmes,7,3,7,728,1942,146.5
469,20,11428,Inside,8,98.0,NridgHt,5,3,7,1626,2006,250.0
470,60,9291,Corner,6,76.0,SawyerW,5,3,7,832,1993,187.0
471,120,6820,Corner,8,,StoneBr,5,1,4,1488,1985,212.0
472,60,11952,Inside,7,92.0,NWAmes,6,3,8,808,1977,190.0
473,180,3675,Inside,6,35.0,Edwards,5,2,5,547,2005,148.0
475,120,5330,Inside,8,41.0,StoneBr,5,2,6,1494,2000,251.0
476,20,8480,Corner,5,80.0,Sawyer,6,2,5,970,1963,132.5
477,20,13125,Inside,6,75.0,CollgCr,5,3,7,1478,1997,208.9
478,60,13693,Inside,9,105.0,NridgHt,5,3,9,2153,2006,380.0
479,20,10637,Inside,8,79.0,CollgCr,5,3,7,1705,2007,297.0
480,30,5925,Inside,4,50.0,OldTown,7,2,7,907,1937,89.471
481,20,16033,FR2,9,98.0,NridgHt,5,3,8,1833,2004,326.0
482,20,11846,Inside,9,72.0,NridgHt,5,2,6,1792,2003,374.0
483,70,2500,Corner,7,50.0,OldTown,8,4,7,910,1915,155.0
484,120,4500,FR2,6,32.0,Mitchel,5,2,5,1216,1998,164.0
485,20,7758,Corner,5,,Sawyer,7,3,6,999,1962,132.5
486,20,9600,Inside,5,80.0,NAmes,7,3,5,1113,1950,147.0
487,20,10289,Inside,5,79.0,NAmes,7,3,6,1073,1965,156.0
488,20,12243,Inside,5,70.0,NWAmes,6,3,7,1484,1971,175.0
490,180,1526,Inside,4,21.0,MeadowV,8,1,3,630,1970,86.0
491,160,2665,Inside,5,,MeadowV,6,3,4,264,1976,115.0
492,50,9490,Inside,6,79.0,NAmes,7,3,5,806,1941,133.0
493,60,15578,Corner,6,105.0,Gilbert,5,3,8,728,2006,172.785
494,20,7931,Inside,5,70.0,NAmes,6,3,6,1269,1960,155.0
495,30,5784,Inside,5,50.0,OldTown,8,2,4,190,1938,91.3
496,30,7879,Inside,4,60.0,IDOTRR,5,2,4,720,1920,34.9
498,50,9120,Inside,7,60.0,BrkSide,6,4,8,1026,1925,184.0
499,20,7800,Inside,5,65.0,Sawyer,7,3,5,864,1967,130.0
500,20,7535,Inside,5,70.0,NAmes,7,2,5,912,1958,120.0
501,160,1890,Inside,6,21.0,BrDale,5,3,7,672,1973,113.0
502,60,9803,Inside,7,75.0,Somerst,5,3,7,866,2005,226.7
503,20,9170,Corner,5,70.0,Edwards,7,2,6,1214,1965,140.0
504,20,15602,Inside,7,100.0,Crawfor,8,1,6,1501,1959,289.0
505,160,2308,Inside,6,24.0,NPkVill,5,3,6,855,1974,147.0
506,90,7596,Inside,5,60.0,OldTown,5,4,10,960,1952,124.5
507,60,9554,Inside,8,80.0,SawyerW,5,3,8,777,1993,215.0
508,20,7862,Inside,6,75.0,Somerst,5,2,4,1218,2009,208.3
510,20,9600,Corner,5,80.0,NAmes,6,3,6,1041,1959,124.5
511,20,14559,Inside,5,75.0,NAmes,7,2,6,1008,1951,164.9
512,120,6792,Inside,7,40.0,NridgHt,5,2,6,1368,2005,202.665
513,20,9100,Corner,5,70.0,NAmes,5,3,5,864,1958,129.9
514,20,9187,Corner,6,71.0,Mitchel,5,3,5,1084,1983,134.0
515,45,10594,Inside,5,55.0,Crawfor,5,2,5,768,1926,96.5
516,20,12220,Inside,10,94.0,NridgHt,5,3,9,2006,2009,402.861
517,80,10448,Corner,6,,NWAmes,6,3,7,689,1972,158.0
518,60,10208,Inside,7,79.0,NoRidge,5,3,7,1264,1996,265.0
519,60,9531,CulDSac,6,,CollgCr,5,3,7,794,1998,211.0
522,20,11988,Corner,6,90.0,NAmes,6,3,6,1244,1957,150.0
523,50,5000,Corner,6,50.0,BrkSide,7,3,7,1004,1947,159.0
525,60,11787,Inside,7,95.0,NoRidge,5,3,8,1379,1996,315.75
526,20,7500,Inside,7,62.0,Somerst,5,3,6,1257,2005,176.0
527,20,13300,Inside,5,70.0,NAmes,7,2,4,928,1956,132.0
529,30,9098,Inside,4,58.0,Edwards,7,2,5,528,1920,86.0
530,20,32668,CulDSac,6,,Crawfor,3,4,9,2035,1957,200.624
531,80,10200,Inside,6,85.0,Timber,5,3,5,1461,1988,175.0
532,70,6155,FR3,6,60.0,BrkSide,8,3,6,611,1920,128.0
533,20,7200,Inside,5,60.0,NAmes,7,2,5,0,1955,107.5
535,60,9056,Inside,8,74.0,Gilbert,5,3,6,707,2004,178.0
537,60,8924,CulDSac,7,57.0,CollgCr,5,3,8,880,1998,188.0
538,20,12735,FR2,4,,NAmes,5,3,5,864,1972,111.25
539,20,11553,Inside,5,,Sawyer,5,3,7,1051,1968,158.0
540,20,11423,Inside,8,,CollgCr,5,3,6,1581,2001,272.0
541,20,14601,Inside,9,85.0,Timber,5,2,8,1838,2006,315.0
542,60,11000,FR2,8,,NoRidge,5,4,8,969,2000,248.0
543,20,10140,Inside,7,78.0,NWAmes,5,3,7,1650,1998,213.25
544,120,4058,Inside,7,34.0,NAmes,5,1,4,723,1998,133.0
545,60,17104,Inside,7,58.0,Gilbert,5,3,7,654,2006,179.665
546,50,13837,Corner,7,,NWAmes,5,4,9,1204,1988,229.0
547,50,8737,Inside,6,70.0,BrkSide,7,3,6,1065,1923,210.0
548,85,7244,Inside,5,54.0,Mitchel,7,2,5,768,1970,129.5
549,20,8235,Inside,5,49.0,OldTown,7,2,4,825,1955,125.0
550,60,9375,Inside,7,75.0,Somerst,5,4,8,912,2003,263.0
551,120,4043,Inside,6,53.0,NPkVill,6,2,4,1069,1977,140.0
552,20,6000,Inside,5,50.0,OldTown,6,3,5,928,1957,112.5
553,20,11146,Inside,8,87.0,NridgHt,5,3,7,1709,2006,255.5
554,20,8777,Inside,4,67.0,Edwards,5,2,5,0,1949,108.0
555,60,10625,Inside,7,85.0,NridgHt,5,3,8,998,2003,284.0
556,45,6380,Inside,5,58.0,BrkSide,6,2,5,993,1922,113.0
557,20,14850,Inside,5,69.0,NAmes,5,2,6,1092,1957,141.0
558,50,11040,Inside,4,60.0,IDOTRR,6,3,7,637,1920,108.0
559,60,21872,FR2,7,57.0,Gilbert,5,3,6,729,1996,175.0
560,120,3196,Inside,7,,Blmngtn,5,2,7,1374,2003,234.0
561,20,11341,Inside,5,,Sawyer,6,3,5,1392,1957,121.5
562,20,10010,Inside,5,77.0,Mitchel,5,2,6,1389,1974,170.0
563,30,13907,Inside,5,63.0,Edwards,6,3,6,996,1940,108.0
564,50,21780,Inside,6,66.0,Edwards,7,4,8,1163,1918,185.0
565,60,13346,CulDSac,7,,NoRidge,5,4,9,1095,1992,268.0
566,70,6858,Corner,6,66.0,SWISU,4,4,6,806,1915,128.0
567,60,11198,Inside,9,77.0,StoneBr,5,4,11,1122,2005,325.0
568,20,10171,Inside,7,70.0,NridgHt,5,3,7,1517,2004,214.0
569,50,12327,Inside,8,79.0,SawyerW,8,1,5,1496,1983,316.6
570,90,7032,Corner,5,,NAmes,5,2,4,943,1979,135.96
572,20,7332,Inside,6,60.0,NAmes,6,2,4,864,1959,120.0
573,60,13159,Corner,7,83.0,Timber,5,3,6,846,2009,224.5
574,80,9967,Inside,7,76.0,Gilbert,5,3,8,384,2000,170.0
575,80,10500,FR2,5,70.0,NAmes,7,3,5,372,1971,139.0
576,50,8480,Inside,5,80.0,NAmes,5,2,6,832,1947,118.5
577,50,6292,Inside,7,52.0,SWISU,7,3,6,861,1928,145.0
578,80,11777,Inside,5,96.0,Sawyer,6,3,6,1164,1966,164.5
579,160,3604,Corner,7,34.0,Somerst,5,2,5,689,2007,146.0
580,50,12150,Inside,5,81.0,OldTown,5,4,7,1050,1954,131.5
581,20,14585,CulDSac,6,,NAmes,6,3,7,1144,1960,181.9
582,20,12704,Inside,8,98.0,NridgHt,5,3,8,2042,2008,253.293
583,90,11841,Inside,6,81.0,Edwards,5,3,5,816,1990,118.5
585,50,6120,Inside,4,51.0,BrkSide,7,3,6,884,1935,133.0
586,20,11443,Inside,8,88.0,Timber,5,2,7,1868,2005,369.9
587,30,10267,Inside,6,55.0,BrkSide,7,2,5,816,1918,130.0
588,85,8740,Inside,5,74.0,Sawyer,6,2,4,840,1982,137.0
589,20,25095,Inside,5,65.0,ClearCr,8,1,5,1437,1968,143.0
590,40,9100,Inside,5,50.0,BrkSide,6,2,4,742,1930,79.5
591,60,8320,Inside,7,64.0,CollgCr,5,3,6,770,2004,185.9
593,20,6600,Inside,5,60.0,Mitchel,8,2,4,816,1982,138.0
594,120,4435,Inside,6,,CollgCr,5,1,4,848,2003,140.0
595,20,7990,Inside,5,88.0,CollgCr,6,3,5,924,1975,110.0
596,20,11302,Inside,8,69.0,StoneBr,5,3,7,1814,2005,319.0
597,70,3600,Inside,6,60.0,OldTown,7,3,7,684,1910,114.504
598,120,3922,Inside,7,53.0,Blmngtn,5,2,7,1258,2006,194.201
599,20,12984,Inside,5,80.0,Crawfor,6,3,7,1430,1977,217.5
600,160,1950,Inside,6,24.0,Blueste,6,3,6,716,1980,151.0
601,60,10927,Inside,8,74.0,NridgHt,5,3,8,1058,2005,275.0
602,50,9000,Inside,6,50.0,IDOTRR,6,3,6,780,1937,141.0
603,60,10041,Inside,8,80.0,SawyerW,5,3,8,908,1992,220.0
604,160,3182,Inside,7,30.0,Somerst,5,2,4,600,2004,151.0
605,20,12803,Inside,7,88.0,CollgCr,5,3,6,1494,2002,221.0
606,60,13600,Inside,7,85.0,NAmes,6,3,7,768,1965,205.0
607,20,12464,Corner,5,82.0,CollgCr,5,3,6,1040,1996,152.0
608,20,7800,Inside,5,78.0,Edwards,8,3,8,896,1948,225.0
609,70,12168,Inside,8,78.0,Crawfor,6,4,10,965,1934,359.1
610,20,7943,Inside,4,61.0,Sawyer,5,3,5,1029,1961,118.5
611,60,11050,Inside,9,,CollgCr,5,3,8,1440,2000,313.0
612,80,10395,FR2,6,,NWAmes,6,3,6,1032,1978,148.0
613,60,11885,Inside,8,,CollgCr,5,3,7,1299,2001,261.5
614,20,8402,Inside,5,70.0,Mitchel,5,3,6,1120,2007,147.0
615,180,1491,Inside,4,21.0,MeadowV,6,1,3,630,1972,75.5
616,85,8800,Inside,6,80.0,NAmes,7,3,6,936,1963,137.5
617,60,7861,Inside,6,,Gilbert,5,3,7,783,2002,183.2
618,45,7227,Corner,6,59.0,NAmes,6,2,4,832,1954,105.5
619,20,11694,Inside,9,90.0,NridgHt,5,3,9,1822,2007,314.813
620,60,12244,Inside,8,85.0,Timber,5,4,10,1482,2003,305.0
621,30,8248,Inside,3,45.0,Edwards,3,2,5,864,1914,67.0
622,60,10800,Inside,6,90.0,NWAmes,7,4,9,1522,1974,240.0
623,20,7064,Inside,5,71.0,Sawyer,6,3,6,980,1977,135.0
624,160,2117,Inside,6,,Somerst,5,2,4,756,2000,168.5
625,60,10400,Inside,6,80.0,NWAmes,5,4,8,732,1972,165.15
626,20,10000,Corner,6,87.0,NAmes,6,3,5,1116,1962,160.0
627,20,12342,Inside,5,,NAmes,5,3,6,978,1960,139.9
628,80,9600,Inside,6,80.0,NAmes,6,3,7,1156,1955,153.0
629,60,11606,Inside,5,70.0,NAmes,5,5,9,1040,1969,135.0
630,80,9020,Corner,6,82.0,NAmes,5,3,6,1248,1964,168.5
632,120,4590,Inside,8,34.0,NridgHt,5,2,6,1554,2006,209.5
633,20,11900,Inside,7,85.0,NWAmes,5,3,6,1386,1977,82.5
634,20,9250,Corner,5,80.0,NAmes,7,3,6,1056,1954,139.4
637,30,6120,Inside,2,51.0,BrkSide,3,1,4,264,1936,60.0
639,30,8777,Inside,5,67.0,Edwards,7,2,4,796,1910,85.0
640,120,3982,Inside,8,53.0,Blmngtn,5,1,7,1520,2006,264.561
641,120,12677,Inside,8,62.0,NridgHt,5,1,6,1518,2003,274.0
642,60,7050,Inside,7,,Somerst,5,3,7,1057,2001,226.0
643,80,13860,Inside,8,75.0,NAmes,7,4,9,1952,1972,345.0
644,60,10793,Inside,5,80.0,NWAmes,5,4,7,780,1969,152.0
645,20,9187,Inside,9,85.0,Somerst,5,2,7,1766,2009,370.878
646,20,10530,Corner,6,,NAmes,5,3,5,981,1971,143.25
647,20,7200,Inside,5,60.0,NAmes,5,3,7,0,1950,98.3
648,20,10452,Inside,6,85.0,Edwards,5,3,5,1094,1953,155.0
649,60,7700,Inside,6,70.0,NAmes,5,4,7,756,1966,155.0
650,180,1936,Inside,4,21.0,MeadowV,6,1,3,630,1970,84.5
651,60,8125,Inside,7,65.0,Somerst,6,3,7,813,2007,205.95
652,70,9084,Inside,4,60.0,Edwards,5,4,7,755,1940,108.0
653,60,8750,Inside,7,70.0,CollgCr,5,2,7,880,1996,191.0
654,50,10320,Inside,6,60.0,IDOTRR,7,3,7,756,1906,135.0
655,20,10437,Inside,8,91.0,NoRidge,6,2,7,2109,1995,350.0
656,160,1680,Inside,6,21.0,BrDale,5,3,6,525,1971,88.0
657,20,10007,Inside,5,72.0,NAmes,7,3,5,1053,1959,145.5
658,70,7200,Inside,7,60.0,Crawfor,6,3,6,776,1931,149.0
659,50,17503,Inside,6,78.0,NAmes,5,3,6,912,1948,97.5
660,20,9937,Corner,5,75.0,Edwards,7,3,7,1486,1964,167.0
661,60,12384,CulDSac,7,,NWAmes,7,3,7,793,1976,197.9
663,20,13560,Corner,6,120.0,NAmes,3,2,5,1392,1968,110.0
664,85,10012,Inside,4,90.0,Edwards,5,3,6,1138,1972,137.5
666,60,11194,Corner,8,106.0,Gilbert,5,3,7,1406,2000,230.5
667,60,18450,Inside,6,,NAmes,5,3,7,1021,1965,129.0
668,20,8125,Inside,6,65.0,SawyerW,5,3,7,1408,1994,193.5
669,20,14175,Corner,5,,Sawyer,6,3,6,1188,1956,168.0
670,30,11600,Inside,4,80.0,Crawfor,5,2,5,700,1922,137.5
671,60,8633,FR2,6,64.0,CollgCr,5,3,7,738,2005,173.5
672,70,6629,Inside,6,54.0,Edwards,6,3,6,672,1925,103.6
673,20,11250,Inside,6,,Veenker,6,3,6,1208,1977,165.0
674,20,14442,Inside,6,110.0,Crawfor,7,3,7,1477,1957,257.5
675,20,9200,Inside,6,80.0,NAmes,6,3,5,1136,1965,140.0
676,160,2289,Inside,6,24.0,NPkVill,6,3,7,855,1978,148.5
678,30,9022,Inside,5,52.0,OldTown,8,2,5,768,1924,109.5
679,20,11844,Inside,8,80.0,StoneBr,5,3,7,2046,2008,372.5
680,20,9945,Inside,5,,Sawyer,5,3,5,988,1961,128.5
681,120,8012,Inside,6,50.0,SawyerW,5,2,5,923,1980,143.0
682,50,4500,Inside,5,55.0,SWISU,5,3,6,793,1932,159.434
683,120,2887,Inside,6,,ClearCr,5,2,6,1291,1996,173.0
684,20,11248,Corner,9,90.0,CollgCr,5,3,7,1626,2002,285.0
685,60,16770,CulDSac,7,58.0,NoRidge,5,4,7,1195,1998,221.0
686,160,5062,CulDSac,7,,StoneBr,5,3,6,1190,1984,207.5
687,60,10207,Inside,7,84.0,Somerst,6,3,7,874,2007,227.875
688,160,5105,FR2,7,,Somerst,5,2,4,551,2004,148.8
689,20,8089,Inside,8,60.0,StoneBr,6,2,7,1419,2007,392.0
690,120,7577,Corner,6,61.0,NridgHt,5,2,6,1362,2005,194.7
691,120,4426,Inside,6,,CollgCr,5,1,3,848,2004,141.0
693,60,26178,Inside,7,42.0,Timber,5,4,9,1210,1989,335.0
694,30,5400,Corner,5,60.0,OldTown,6,2,4,1073,1921,108.48
695,50,6120,Corner,5,51.0,BrkSide,6,3,5,927,1936,141.5
696,20,13811,Inside,6,54.0,Timber,6,2,5,1112,1987,176.0
697,30,6000,Inside,5,50.0,BrkSide,7,2,4,616,1921,89.0
698,20,6420,Inside,5,57.0,Edwards,7,2,6,980,1952,123.5
699,20,8450,Inside,5,65.0,Sawyer,8,3,5,894,1965,138.5
700,120,4282,Inside,7,59.0,Somerst,5,2,5,1391,2004,196.0
701,20,14331,Inside,8,85.0,Timber,5,3,7,1800,2002,312.5
702,20,9600,Inside,7,80.0,NWAmes,5,3,6,1164,1969,140.0
703,60,12438,Inside,8,82.0,StoneBr,5,4,10,1234,2006,361.919
705,20,8400,Inside,7,70.0,CollgCr,5,3,7,1473,2004,213.0
708,120,6240,Inside,8,48.0,NridgHt,5,2,6,1324,2006,254.0
709,60,9018,Inside,7,65.0,Gilbert,5,3,8,728,2007,179.54
710,20,7162,Inside,5,,Sawyer,7,3,6,876,1966,109.9
711,30,4130,Inside,3,56.0,BrkSide,6,2,5,270,1935,52.0
712,50,8712,Inside,4,66.0,IDOTRR,7,2,7,859,1900,102.776
713,120,4671,Inside,8,40.0,StoneBr,5,2,5,1228,1988,189.0
715,60,13517,CulDSac,6,,Sawyer,8,3,6,725,1976,130.5
716,20,10140,Inside,6,78.0,NWAmes,5,3,7,1064,1974,165.0
717,70,10800,Inside,7,60.0,OldTown,8,3,8,718,1890,159.5
718,20,10000,Inside,5,80.0,NWAmes,6,3,5,1176,1973,157.0
719,60,10542,Inside,7,96.0,NoRidge,5,3,9,1311,1993,341.0
720,20,9920,Inside,5,69.0,CollgCr,6,3,5,971,1969,128.5
721,120,6563,CulDSac,8,,StoneBr,5,2,5,1742,1985,275.0
722,120,4426,Inside,6,,CollgCr,5,1,3,848,2004,143.0
723,20,8120,Inside,4,70.0,NAmes,7,3,5,864,1970,124.5
724,50,8172,Inside,4,60.0,Edwards,6,4,7,941,1954,135.0
725,20,13286,Inside,9,86.0,Edwards,5,3,8,1698,2007,320.0
726,20,6960,Inside,4,60.0,NAmes,6,3,5,864,1970,120.5
728,20,7314,Inside,7,64.0,CollgCr,5,2,6,1232,2007,194.5
729,90,11475,Corner,5,85.0,NAmes,5,4,9,1584,1958,110.0
730,30,6240,Inside,4,52.0,IDOTRR,5,2,5,780,1925,103.0
731,120,5389,Inside,8,39.0,StoneBr,5,2,5,1595,1995,236.5
732,80,9590,Corner,7,73.0,Timber,5,3,6,868,2003,187.5
733,60,11404,Inside,7,75.0,CollgCr,5,3,8,1153,1998,222.5
734,20,10000,Corner,5,80.0,Sawyer,6,3,6,864,1961,131.4
735,20,8978,Corner,5,,Sawyer,5,3,6,948,1968,108.0
736,75,10800,Inside,7,60.0,OldTown,7,2,6,880,1914,163.0
737,90,8544,Inside,3,60.0,NAmes,4,2,6,0,1950,93.5
738,60,10463,CulDSac,8,72.0,Gilbert,5,3,8,893,2005,239.9
739,90,10800,Inside,5,60.0,Edwards,5,3,5,1200,1987,179.0
740,60,9313,Inside,7,65.0,CollgCr,5,3,7,864,2004,190.0
741,70,9600,Inside,5,60.0,OldTown,7,2,7,264,1910,132.0
742,20,6768,Inside,6,65.0,Sawyer,8,3,5,912,1961,142.0
743,20,8450,Inside,7,65.0,SawyerW,5,3,6,1349,2000,179.0
744,80,12886,Inside,5,70.0,Sawyer,6,3,6,520,1963,175.0
745,120,5395,Inside,8,41.0,StoneBr,5,2,5,1337,1993,180.0
747,60,8795,Inside,7,,Gilbert,5,4,8,952,2000,236.0
749,20,10593,Inside,7,59.0,NoRidge,5,3,7,1720,1996,260.4
750,50,8405,Inside,4,50.0,Edwards,3,4,9,0,1945,98.0
751,50,8800,Corner,4,55.0,OldTown,7,3,7,576,1910,96.5
752,60,7750,Inside,7,,Gilbert,5,3,6,660,2003,162.0
753,20,9236,Inside,6,79.0,CollgCr,5,3,6,1479,1997,217.0
754,60,10240,Inside,8,80.0,NridgHt,5,3,8,1030,2005,275.5
755,20,7930,Inside,6,61.0,NAmes,8,3,5,1026,1969,156.0
756,160,3230,Inside,6,34.0,Somerst,5,3,6,729,1999,172.5
757,60,10769,Inside,8,68.0,CollgCr,5,3,7,866,2007,212.0
758,60,11616,CulDSac,6,,Sawyer,5,3,6,672,1978,158.9
759,160,2280,Inside,7,24.0,Somerst,5,3,6,744,1999,179.4
760,60,12257,Inside,8,65.0,NoRidge,5,4,9,1318,1995,290.0
761,20,9100,Inside,6,70.0,NAmes,6,2,5,864,1959,127.5
762,30,6911,FR2,5,60.0,BrkSide,5,2,5,1145,1924,100.0
763,60,8640,Inside,7,72.0,Somerst,5,3,7,756,2009,215.2
764,60,9430,Inside,8,82.0,NoRidge,5,3,8,1252,1999,337.0
765,120,9549,CulDSac,8,30.0,Veenker,5,2,6,1494,1995,270.0
766,20,14587,Inside,9,75.0,Somerst,5,2,6,1498,2008,264.132
767,60,10421,Inside,7,80.0,NWAmes,5,3,7,980,1988,196.5
768,50,12508,Inside,6,75.0,Mitchel,7,4,7,983,1940,160.0
769,20,9100,Inside,7,70.0,CollgCr,5,3,8,1860,2004,216.837
771,85,7252,CulDSac,5,,Sawyer,5,2,5,858,1982,134.9
772,20,8877,Inside,4,67.0,Edwards,5,2,6,836,1951,102.0
773,80,7819,Inside,6,94.0,Edwards,5,3,6,1029,1976,107.0
774,20,10150,Inside,5,70.0,NAmes,5,2,5,912,1958,114.5
775,20,14226,Corner,8,110.0,NridgHt,5,3,9,1935,2006,395.0
776,120,4500,FR2,6,32.0,Mitchel,5,2,5,1204,1998,162.0
777,20,11210,Inside,7,86.0,CollgCr,5,3,7,1614,2005,221.5
778,20,13350,Inside,5,100.0,Sawyer,5,3,5,864,1974,142.5
779,90,8400,Inside,5,60.0,SawyerW,5,4,10,0,1977,144.0
780,90,10530,Inside,6,78.0,Mitchel,5,2,4,975,1977,135.0
781,20,7875,Inside,7,63.0,Gilbert,5,3,6,1237,1995,176.0
782,60,7153,Inside,6,65.0,SawyerW,5,3,7,761,1992,175.9
783,20,16285,Inside,7,67.0,CollgCr,5,3,6,1413,2001,187.1
784,85,9101,Corner,5,,Mitchel,6,1,4,1097,1978,165.5
785,75,6300,Inside,6,35.0,OldTown,6,3,9,742,1914,128.0
786,20,9790,Inside,6,,NWAmes,5,3,7,1372,1967,161.5
787,50,10800,Inside,5,60.0,OldTown,6,4,7,686,1915,139.0
788,60,10142,Inside,7,76.0,SawyerW,5,4,8,956,2004,233.0
789,20,6000,Corner,4,50.0,OldTown,7,2,4,901,1954,107.9
790,60,12205,Inside,6,,ClearCr,8,5,9,832,1966,187.5
791,120,3182,Inside,7,43.0,Blmngtn,5,2,5,1145,2005,160.2
792,80,11333,Corner,6,,Mitchel,5,3,5,1029,1976,146.8
793,60,9920,CulDSac,7,92.0,NoRidge,5,3,8,1117,1996,269.79
794,20,9158,Inside,8,76.0,Somerst,5,3,7,1496,2007,225.0
795,60,10832,Corner,7,,Gilbert,5,3,7,712,1994,194.5
796,60,8400,Inside,6,70.0,SawyerW,6,3,7,650,1980,171.0
797,20,8197,Inside,6,71.0,Sawyer,5,3,7,660,1977,143.5
798,20,7677,Inside,5,57.0,NAmes,5,2,4,773,1953,110.0
800,50,7200,Corner,5,60.0,SWISU,7,3,7,731,1937,175.0
801,60,12798,Inside,6,79.0,ClearCr,5,4,8,616,1997,200.0
802,30,4800,Inside,4,40.0,IDOTRR,7,2,5,1196,1916,109.9
803,60,8199,Inside,7,63.0,CollgCr,5,3,7,728,2005,189.0
805,20,9000,Inside,5,75.0,NAmes,5,2,5,936,1954,118.0
806,20,12274,FR2,7,91.0,Somerst,5,3,6,1417,2008,227.68
807,80,9750,Inside,5,75.0,NAmes,5,3,6,980,1967,135.5
809,80,13400,Inside,5,85.0,NAmes,5,3,6,1024,1966,159.95
810,75,8100,Corner,5,90.0,OldTown,5,2,11,849,1898,106.0
